Student_ID,MST_Score,Quiz_Score,Attendance_Percent,Assignment_Score,Performance_Score,Performance_Category
STU0451,79.0,70.3,69.9,70.2,73.68,Average Performer
STU0452,66.3,60.8,53.5,90.4,67.46,Average Performer
STU0453,71.4,76.9,82.0,91.4,78.62,High Performer
STU0454,60.9,55.9,78.2,66.0,64.38,Average Performer
STU0455,71.4,79.9,54.8,77.6,71.02,Average Performer
STU0456,68.0,58.3,91.0,54.5,67.96,Average Performer
STU0457,67.5,41.2,98.2,38.8,62.64,Average Performer
STU0458,71.2,62.8,82.6,81.6,73.88,Average Performer
STU0459,79.0,73.0,88.9,60.6,76.1,High Performer
STU0460,44.4,55.2,97.7,67.8,61.9,Average Performer
STU0461,55.3,54.5,79.2,64.0,61.66,Average Performer
STU0462,79.4,75.7,82.6,60.2,75.46,High Performer
STU0463,70.1,78.1,84.1,56.2,71.72,Average Performer
STU0464,95.4,59.4,79.6,79.3,81.82,High Performer
STU0465,67.0,63.9,77.1,65.3,68.06,Average Performer
STU0466,63.7,59.5,77.3,52.2,63.28,Average Performer
STU0467,96.0,65.4,64.7,78.8,80.18,High Performer
STU0468,75.4,66.4,83.2,67.8,73.64,Average Performer
STU0469,61.0,60.1,94.9,54.8,66.36,Average Performer
STU0470,28.4,44.3,82.2,50.1,46.68,Needs Improvement
STU0471,100.0,84.5,72.5,90.7,89.54,High Performer
STU0472,58.3,58.2,67.7,68.2,62.14,Average Performer
STU0473,70.9,86.5,90.7,66.3,77.06,High Performer
STU0474,73.8,81.3,87.2,80.9,79.4,High Performer
STU0475,76.9,84.0,96.6,84.5,83.78,High Performer
STU0476,89.4,96.5,58.6,71.2,81.02,High Performer
STU0477,99.4,64.3,71.1,81.2,83.08,High Performer
STU0478,37.6,27.3,53.9,45.4,40.36,Needs Improvement
STU0479,69.6,69.9,78.9,74.7,72.54,Average Performer
STU0480,63.6,59.5,41.0,70.1,59.56,Average Performer
STU0481,65.9,58.9,80.6,40.4,62.34,Average Performer
STU0482,77.9,84.5,94.3,69.9,80.9,High Performer
STU0483,59.6,80.2,24.9,58.3,56.52,Average Performer
STU0484,51.5,77.3,79.6,56.5,63.28,Average Performer
STU0485,54.2,60.3,64.6,36.7,54.0,Average Performer
STU0486,51.3,51.6,98.8,69.9,64.58,Average Performer
STU0487,53.9,55.3,35.5,50.1,49.74,Needs Improvement
STU0488,83.8,95.3,98.5,79.8,88.24,High Performer
STU0489,65.4,67.5,92.9,55.4,69.32,Average Performer
STU0490,57.1,56.5,91.8,49.3,62.36,Average Performer
STU0491,71.9,73.6,71.8,76.6,73.16,Average Performer
STU0492,75.6,65.6,94.4,86.7,79.58,High Performer
STU0493,46.1,53.9,41.6,63.3,50.2,Average Performer
STU0494,59.0,40.3,74.5,45.8,55.72,Average Performer
STU0495,74.6,81.1,27.6,62.1,64.0,Average Performer
STU0496,68.6,82.4,89.6,49.2,71.68,Average Performer
STU0497,90.5,93.4,81.0,94.8,90.04,High Performer
STU0498,76.0,69.4,93.8,95.9,82.22,High Performer
STU0499,71.4,56.8,52.5,49.7,60.36,Average Performer
STU0500,60.5,71.2,97.2,70.0,71.88,Average Performer
STU0501,71.4,88.4,73.0,76.4,76.12,High Performer
STU0502,49.2,58.5,79.3,55.4,58.32,Average Performer
STU0503,61.9,85.4,66.2,82.7,71.62,Average Performer
STU0504,55.7,45.9,80.4,39.4,55.42,Average Performer
STU0505,83.8,56.7,25.5,68.2,63.6,Average Performer
STU0506,39.3,57.7,69.1,67.7,54.62,Average Performer
STU0507,76.5,74.3,26.8,81.9,67.2,Average Performer
STU0508,60.0,60.0,82.8,66.8,65.92,Average Performer
STU0509,82.0,61.8,96.5,79.0,80.26,High Performer
STU0510,56.4,61.8,98.3,57.0,65.98,Average Performer
STU0511,52.4,53.5,77.9,58.3,58.9,Average Performer
STU0512,47.8,57.8,81.5,55.3,58.04,Average Performer
STU0513,51.1,55.9,64.7,58.2,56.2,Average Performer
STU0514,82.2,97.0,96.6,81.2,87.84,High Performer
STU0515,56.4,75.7,93.7,82.7,72.98,Average Performer
STU0516,61.8,57.9,55.6,75.9,62.6,Average Performer
STU0517,78.5,87.0,80.8,82.5,81.46,High Performer
STU0518,59.1,68.7,92.6,55.2,66.94,Average Performer
STU0519,66.6,52.8,76.8,70.1,66.58,Average Performer
STU0520,67.3,55.6,63.0,75.8,65.8,Average Performer
STU0521,74.0,59.3,61.9,70.9,68.02,Average Performer
STU0522,53.8,61.7,69.8,49.2,57.66,Average Performer
STU0523,33.5,47.2,80.4,60.6,51.04,Average Performer
STU0524,52.6,47.4,89.1,62.4,60.82,Average Performer
STU0525,72.8,68.2,,79.4,78.26,High Performer
STU0526,53.7,61.6,61.3,50.4,56.14,Average Performer
STU0527,50.7,75.0,39.7,48.2,52.86,Average Performer
STU0528,43.9,53.4,84.1,53.5,55.76,Average Performer
STU0529,72.8,65.5,78.8,63.1,70.6,Average Performer
STU0530,89.8,74.5,52.3,75.8,76.44,High Performer
STU0531,46.9,37.8,51.2,54.3,47.42,Needs Improvement
STU0532,45.4,55.0,87.5,64.7,59.6,Average Performer
STU0533,66.0,60.7,94.3,66.6,70.72,Average Performer
STU0534,78.9,94.5,78.2,64.8,79.06,High Performer
STU0535,65.1,75.4,93.0,79.2,75.56,High Performer
STU0536,54.9,38.2,88.0,56.2,58.44,Average Performer
STU0537,72.5,50.8,59.7,50.1,61.12,Average Performer
STU0538,62.0,80.2,89.5,74.4,73.62,Average Performer
STU0539,44.0,28.6,81.8,47.2,49.12,Needs Improvement
STU0540,85.1,83.8,76.2,79.8,82.0,High Performer
STU0541,88.3,68.1,94.7,83.6,84.6,High Performer
STU0542,68.1,46.7,92.6,53.0,65.7,Average Performer
STU0543,80.5,81.5,58.1,89.0,77.92,High Performer
STU0544,87.0,79.5,81.5,98.2,86.64,High Performer
STU0545,87.4,79.2,54.3,72.2,76.1,High Performer
STU0546,56.4,57.4,99.1,73.4,68.54,Average Performer
STU0547,60.0,65.7,80.6,72.5,67.76,Average Performer
STU0548,53.7,53.0,96.1,48.2,60.94,Average Performer
STU0549,75.0,63.3,74.7,61.8,69.96,Average Performer
STU0550,70.3,63.8,87.3,71.1,72.56,Average Performer
STU0551,82.7,90.4,93.8,97.3,89.38,High Performer
STU0552,46.8,50.0,22.2,43.9,41.94,Needs Improvement
STU0553,40.1,19.7,54.7,36.9,38.3,Needs Improvement
STU0554,90.4,59.4,94.5,100.0,86.94,High Performer
STU0555,65.8,64.5,92.8,51.0,67.98,Average Performer
STU0556,61.7,53.2,86.5,40.0,60.62,Average Performer
STU0557,45.8,60.1,96.8,49.7,59.64,Average Performer
STU0558,85.6,100.0,86.9,67.4,85.1,High Performer
STU0559,58.1,71.4,86.2,71.3,69.02,Average Performer
STU0560,100.0,92.3,91.2,88.0,94.3,High Performer
STU0561,49.8,64.7,90.4,51.3,61.2,Average Performer
STU0562,60.7,57.0,98.7,68.9,69.2,Average Performer
STU0563,66.7,58.3,70.6,55.1,63.48,Average Performer
STU0564,54.3,,70.5,56.8,56.88,Average Performer
STU0565,57.7,49.8,70.6,59.0,58.96,Average Performer
STU0566,68.5,73.5,53.5,77.8,68.36,Average Performer
STU0567,79.7,60.8,69.6,72.9,72.54,Average Performer
STU0568,90.3,61.8,72.9,67.4,76.54,High Performer
STU0569,46.6,51.5,77.9,64.8,57.48,Average Performer
STU0570,58.2,76.1,83.7,64.1,68.06,Average Performer
STU0571,34.1,47.6,79.7,37.3,46.56,Needs Improvement
STU0572,81.5,82.5,93.5,96.9,87.18,High Performer
STU0573,93.1,84.1,90.8,98.8,91.98,High Performer
STU0574,76.8,73.8,82.7,90.4,80.1,High Performer
STU0575,50.3,49.8,60.3,58.2,53.78,Average Performer
STU0576,70.2,77.6,85.0,51.0,70.8,Average Performer
STU0577,55.9,57.0,97.6,92.8,71.84,Average Performer
STU0578,76.7,71.2,52.5,80.9,71.6,Average Performer
STU0579,53.8,45.1,79.1,36.7,53.7,Average Performer
STU0580,57.0,61.4,97.1,78.2,70.14,Average Performer
STU0581,36.6,36.2,82.1,44.8,47.26,Needs Improvement
STU0582,51.6,59.5,77.2,58.7,59.72,Average Performer
STU0583,94.3,87.3,70.7,97.5,88.82,High Performer
STU0584,57.6,64.3,69.2,60.2,61.78,Average Performer
STU0585,78.5,100.0,78.9,88.1,84.8,High Performer
STU0586,63.6,89.5,47.0,84.6,69.66,Average Performer
STU0587,58.1,39.6,40.0,68.7,52.9,Average Performer
STU0588,41.7,53.6,69.4,54.9,52.26,Average Performer
STU0589,62.4,65.2,55.9,46.4,58.46,Average Performer
STU0590,70.6,68.4,57.1,73.9,68.12,Average Performer
STU0591,76.3,66.9,90.1,70.5,76.02,High Performer
STU0592,43.4,66.9,64.2,45.4,52.66,Average Performer
STU0593,61.1,66.6,77.2,70.5,67.3,Average Performer
STU0594,71.2,92.9,82.5,83.2,80.2,High Performer
STU0595,33.9,28.2,70.9,29.9,39.36,Needs Improvement
STU0596,59.6,47.5,81.1,59.3,61.42,Average Performer
STU0597,52.7,56.6,86.9,52.8,60.34,Average Performer
STU0598,71.4,83.8,69.3,71.2,73.42,Average Performer
STU0599,,51.9,77.3,71.7,67.82,Average Performer
STU0600,54.0,53.3,79.0,66.0,61.26,Average Performer
STU0601,60.4,67.4,87.5,68.7,68.88,Average Performer
STU0602,60.5,56.6,55.1,50.5,56.64,Average Performer
STU0603,62.3,72.5,55.8,44.4,59.46,Average Performer
STU0604,72.2,77.8,87.8,85.0,79.0,High Performer
STU0605,49.0,47.7,82.5,56.1,56.86,Average Performer
STU0606,67.5,57.2,23.6,85.9,60.34,Average Performer
STU0607,44.8,75.5,66.6,60.2,58.38,Average Performer
STU0608,78.3,91.4,77.4,82.7,81.62,High Performer
STU0609,41.9,47.5,97.7,76.8,61.16,Average Performer
STU0610,61.2,63.1,91.2,62.7,67.88,Average Performer
STU0611,74.7,68.1,59.4,54.7,66.32,Average Performer
STU0612,77.7,,60.6,63.7,70.28,Average Performer
STU0613,51.7,67.8,99.2,81.0,70.28,Average Performer
STU0614,85.3,81.3,67.5,64.5,76.78,High Performer
STU0615,64.2,37.6,70.1,49.2,57.06,Average Performer
STU0616,76.2,60.6,89.7,75.4,75.62,High Performer
STU0617,79.4,69.5,87.9,61.3,75.5,High Performer
STU0618,73.7,71.2,97.5,56.9,74.6,Average Performer
STU0619,27.1,40.2,21.3,56.9,34.52,Needs Improvement
STU0620,53.8,50.7,90.9,77.7,65.38,Average Performer
STU0621,63.4,51.0,40.8,66.8,57.08,Average Performer
STU0622,56.0,56.8,78.9,54.1,60.36,Average Performer
STU0623,75.4,71.2,58.3,85.2,73.1,Average Performer
STU0624,63.4,79.2,82.8,75.6,72.88,Average Performer
STU0625,51.6,64.5,27.3,71.3,53.26,Average Performer
STU0626,62.4,77.0,47.6,71.2,64.12,Average Performer
STU0627,50.1,57.4,82.4,54.6,58.92,Average Performer
STU0628,49.3,61.6,90.8,72.8,64.76,Average Performer
STU0629,97.5,80.1,86.4,64.9,85.28,High Performer
STU0630,63.8,68.5,76.7,78.7,70.3,Average Performer
STU0631,37.4,62.3,41.6,41.5,44.04,Needs Improvement
STU0632,36.1,52.7,79.2,51.9,51.2,Average Performer
STU0633,57.5,84.4,73.6,75.2,69.64,Average Performer
STU0634,73.2,55.4,90.4,82.8,75.0,High Performer
STU0635,66.1,71.4,97.4,66.3,73.46,Average Performer
STU0636,63.9,76.3,82.5,80.7,73.46,Average Performer
STU0637,62.4,65.5,87.4,48.4,65.22,Average Performer
STU0638,51.8,66.8,68.9,46.4,57.14,Average Performer
STU0639,56.9,62.4,93.1,71.7,68.2,Average Performer
STU0640,61.1,39.7,81.0,54.5,59.48,Average Performer
STU0641,71.0,59.3,90.5,51.0,68.56,Average Performer
STU0642,56.3,74.8,61.4,68.0,63.36,Average Performer
STU0643,65.6,63.8,94.9,54.6,68.9,Average Performer
STU0644,73.4,60.2,92.2,63.7,72.58,Average Performer
STU0645,81.6,52.8,76.7,71.2,72.78,Average Performer
STU0646,62.2,54.6,79.2,62.4,64.12,Average Performer
STU0647,58.3,65.5,35.1,48.2,53.08,Average Performer
STU0648,,61.1,72.4,86.2,68.7,Average Performer
STU0649,58.7,38.0,83.2,53.1,58.34,Average Performer
STU0650,74.5,67.2,90.1,71.8,75.62,High Performer
STU0651,63.2,61.8,71.6,73.1,66.58,Average Performer
STU0652,53.8,49.6,78.3,48.6,56.82,Average Performer
STU0653,76.1,53.1,69.5,67.3,68.42,Average Performer
STU0654,69.1,30.2,76.1,67.0,62.3,Average Performer
STU0655,72.6,55.1,28.4,65.9,58.92,Average Performer
STU0656,51.5,56.6,90.3,51.9,60.36,Average Performer
STU0657,77.0,74.1,55.2,66.0,69.86,Average Performer
STU0658,59.9,63.7,73.4,76.2,66.62,Average Performer
STU0659,66.5,73.6,76.6,52.6,67.16,Average Performer
STU0660,64.6,54.2,99.1,50.2,66.54,Average Performer
STU0661,49.8,46.7,96.6,69.9,62.56,Average Performer
STU0662,59.4,64.1,38.7,69.5,58.22,Average Performer
STU0663,88.3,94.9,99.0,86.1,91.32,High Performer
STU0664,70.5,49.5,94.3,58.2,68.6,Average Performer
STU0665,75.1,72.0,82.2,83.3,77.54,High Performer
STU0666,46.1,56.1,76.7,73.4,59.68,Average Performer
STU0667,61.5,47.7,36.5,70.4,55.52,Average Performer
STU0668,41.6,51.4,94.2,64.3,58.62,Average Performer
STU0669,72.8,87.1,98.7,81.2,82.52,High Performer
STU0670,82.2,84.8,22.9,71.8,68.78,Average Performer
STU0671,66.3,60.1,83.9,55.4,66.4,Average Performer
STU0672,85.4,77.6,92.3,68.0,81.74,High Performer
STU0673,46.1,45.2,78.6,65.9,56.38,Average Performer
STU0674,64.7,41.1,58.7,56.8,57.2,Average Performer
STU0675,50.3,67.4,87.2,71.2,65.28,Average Performer
STU0676,54.7,69.2,78.3,72.0,65.78,Average Performer
STU0677,53.9,78.1,46.6,67.0,59.9,Average Performer
STU0678,57.3,33.4,48.8,51.5,49.66,Needs Improvement
STU0679,70.9,86.3,84.4,82.3,78.96,High Performer
STU0680,71.5,64.4,88.4,66.0,72.36,Average Performer
STU0681,89.2,98.3,79.8,77.9,86.88,High Performer
STU0682,29.8,35.5,49.1,36.1,36.06,Needs Improvement
STU0683,64.5,76.1,68.4,48.8,64.46,Average Performer
STU0684,87.8,76.7,79.4,64.7,79.28,High Performer
STU0685,54.8,35.1,38.1,43.5,45.26,Needs Improvement
STU0686,63.0,43.6,98.4,57.7,65.14,Average Performer
STU0687,66.7,93.7,93.0,71.7,78.36,High Performer
STU0688,90.9,71.1,81.9,87.9,84.54,High Performer
STU0689,54.9,49.8,81.3,59.1,60.0,Average Performer
STU0690,61.0,70.9,51.8,65.3,62.0,Average Performer
STU0691,85.1,,92.4,74.4,81.74,High Performer
STU0692,64.6,65.6,82.6,64.4,68.36,Average Performer
STU0693,46.3,58.9,37.0,71.4,51.98,Average Performer
STU0694,81.4,63.7,77.2,55.9,71.92,Average Performer
STU0695,68.3,63.8,70.1,60.7,66.24,Average Performer
STU0696,70.8,63.1,80.3,64.4,69.88,Average Performer
STU0697,60.6,57.1,83.0,69.9,66.24,Average Performer
STU0698,100.0,73.1,76.4,71.5,84.2,High Performer
STU0699,36.0,50.4,66.8,31.4,44.12,Needs Improvement
STU0700,72.4,54.5,90.8,70.8,72.18,Average Performer
STU0701,41.5,64.1,74.4,49.2,54.14,Average Performer
STU0702,58.1,73.8,81.6,70.5,68.42,Average Performer
STU0703,61.8,64.5,78.0,59.7,65.16,Average Performer
STU0704,62.8,61.7,68.7,64.3,64.06,Average Performer
STU0705,59.7,76.5,69.0,63.9,65.76,Average Performer
STU0706,53.0,61.3,94.6,45.2,61.42,Average Performer
STU0707,78.6,67.0,86.4,69.0,75.92,High Performer
STU0708,56.8,75.8,83.3,77.5,70.04,Average Performer
STU0709,57.7,53.3,79.0,73.8,64.3,Average Performer
STU0710,88.5,79.7,43.7,63.9,72.86,Average Performer
STU0711,51.9,53.8,24.7,58.0,48.06,Needs Improvement
STU0712,70.4,54.6,28.9,55.2,55.9,Average Performer
STU0713,81.4,68.9,90.6,88.6,82.18,High Performer
STU0714,62.7,62.9,94.1,85.5,73.58,Average Performer
STU0715,57.6,55.0,77.9,76.2,64.86,Average Performer
STU0716,60.5,69.5,86.7,66.8,68.8,Average Performer
STU0717,63.8,77.7,69.3,81.8,71.28,Average Performer
STU0718,70.8,55.4,87.8,63.2,69.6,Average Performer
STU0719,70.7,75.4,77.0,93.1,77.38,High Performer
STU0720,51.2,39.1,,50.6,52.46,Average Performer
STU0721,67.0,50.9,91.3,83.8,72.0,Average Performer
STU0722,69.3,55.7,58.9,83.9,67.42,Average Performer
STU0723,43.9,54.4,81.0,62.7,57.18,Average Performer
STU0724,69.8,59.5,67.2,58.5,64.96,Average Performer
STU0725,56.2,77.7,87.8,69.2,69.42,Average Performer
STU0726,75.8,65.1,83.1,62.3,72.42,Average Performer
STU0727,100.0,100.0,98.7,100.0,99.74,High Performer
STU0728,71.7,66.5,87.2,73.7,74.16,Average Performer
STU0729,61.6,58.6,34.1,49.8,53.14,Average Performer
STU0730,77.9,58.2,79.0,75.6,73.72,Average Performer
STU0731,64.2,77.5,71.3,63.1,68.06,Average Performer
STU0732,46.5,48.6,70.6,51.1,52.66,Average Performer
STU0733,74.2,68.8,91.6,82.8,78.32,High Performer
STU0734,64.6,,82.3,69.7,70.26,Average Performer
STU0735,70.2,70.9,93.3,75.9,76.1,High Performer
STU0736,,80.4,90.0,71.3,77.1,High Performer
STU0737,51.8,67.9,31.2,52.9,51.12,Average Performer
STU0738,65.9,56.4,84.6,51.9,64.94,Average Performer
STU0739,55.4,58.0,72.1,69.9,62.16,Average Performer
STU0740,62.5,70.7,79.5,57.5,66.54,Average Performer
STU0741,53.7,48.7,79.3,60.4,59.16,Average Performer
STU0742,52.7,37.9,99.5,47.1,57.98,Average Performer
STU0743,58.9,65.9,67.7,43.8,59.04,Average Performer
STU0744,60.2,46.4,99.4,40.2,61.28,Average Performer
STU0745,81.6,82.9,80.1,78.2,80.88,High Performer
STU0746,58.7,71.4,78.8,56.7,64.86,Average Performer
STU0747,54.5,79.8,83.2,51.7,64.74,Average Performer
STU0748,100.0,100.0,78.2,81.7,91.98,High Performer
STU0749,56.3,57.7,71.2,63.5,61.0,Average Performer
STU0750,73.6,87.0,93.0,81.0,81.64,High Performer
STU0751,73.3,60.9,79.2,78.1,72.96,Average Performer
STU0752,63.0,54.6,87.7,56.3,64.92,Average Performer
STU0753,91.5,93.2,94.9,73.6,88.94,High Performer
STU0754,81.1,78.0,98.4,91.9,86.1,High Performer
STU0755,62.1,72.6,74.3,48.1,63.84,Average Performer
STU0756,43.5,57.1,69.3,57.9,54.26,Average Performer
STU0757,85.1,71.7,80.1,57.1,75.82,High Performer
STU0758,100.0,95.2,54.9,74.2,84.86,High Performer
STU0759,58.3,59.6,56.2,75.4,61.56,Average Performer
STU0760,95.3,80.4,87.5,100.0,91.7,High Performer
STU0761,47.5,40.2,90.1,44.1,53.88,Average Performer
STU0762,100.0,84.3,62.1,89.3,87.14,High Performer
STU0763,72.7,85.8,90.2,87.4,81.76,High Performer
STU0764,62.9,52.3,61.0,76.0,63.02,Average Performer
STU0765,66.8,66.2,54.6,69.4,64.76,Average Performer
STU0766,46.9,32.5,82.2,40.7,49.84,Needs Improvement
STU0767,53.5,48.9,80.6,72.6,61.82,Average Performer
STU0768,69.5,55.1,34.3,51.4,55.96,Average Performer
STU0769,72.1,68.3,97.7,90.9,80.22,High Performer
STU0770,33.3,24.9,69.0,52.3,42.56,Needs Improvement
STU0771,76.7,88.8,86.6,88.6,83.48,High Performer
STU0772,72.4,59.1,62.1,62.4,65.68,Average Performer
STU0773,76.6,65.8,86.4,81.0,77.28,High Performer
STU0774,53.1,25.4,45.7,51.2,45.7,Needs Improvement
STU0775,95.0,100.0,84.6,93.8,93.68,High Performer
STU0776,43.6,56.7,68.8,56.0,53.74,Average Performer
STU0777,67.1,80.2,88.9,67.2,74.1,Average Performer
STU0778,73.1,72.2,97.1,100.0,83.1,High Performer
STU0779,74.9,64.4,78.7,70.1,72.6,Average Performer
STU0780,39.3,45.0,87.2,30.5,48.26,Needs Improvement
STU0781,57.9,70.4,89.7,62.4,67.66,Average Performer
STU0782,67.3,42.3,66.2,50.8,58.78,Average Performer
STU0783,47.0,26.3,85.0,56.5,52.36,Average Performer
STU0784,31.7,32.0,86.6,42.6,44.92,Needs Improvement
STU0785,35.1,42.2,90.3,46.0,49.74,Needs Improvement
STU0786,51.1,40.1,70.6,55.9,53.76,Average Performer
STU0787,56.9,49.4,71.8,73.5,61.7,Average Performer
STU0788,65.7,83.5,83.2,61.1,71.84,Average Performer
STU0789,75.8,72.3,79.8,75.9,75.92,High Performer
STU0790,86.2,63.8,90.9,74.1,80.24,High Performer
STU0791,83.6,67.0,94.8,75.1,80.82,High Performer
STU0792,100.0,96.1,96.0,94.4,97.3,High Performer
STU0793,82.0,62.9,89.4,58.4,74.94,Average Performer
STU0794,100.0,99.4,56.0,72.6,85.6,High Performer
STU0795,41.4,44.8,78.8,41.2,49.52,Needs Improvement
STU0796,54.6,70.6,82.5,56.7,63.8,Average Performer
STU0797,76.4,77.5,57.9,89.2,75.48,High Performer
STU0798,60.1,63.3,83.5,77.8,68.96,Average Performer
STU0799,82.7,70.3,80.1,71.8,77.52,High Performer
STU0800,72.8,66.7,88.7,73.3,74.86,Average Performer
STU0801,56.8,41.7,77.5,50.8,56.72,Average Performer
STU0802,73.1,67.5,94.3,64.6,74.52,Average Performer
STU0803,49.4,43.0,48.7,71.1,52.32,Average Performer
STU0804,68.6,57.6,78.4,63.0,67.24,Average Performer
STU0805,70.9,62.1,77.1,85.5,73.3,Average Performer
STU0806,43.3,62.6,70.9,62.5,56.52,Average Performer
STU0807,95.1,67.2,90.3,94.8,88.5,High Performer
STU0808,53.1,58.5,81.4,78.0,64.82,Average Performer
STU0809,50.5,39.8,77.9,47.1,53.16,Average Performer
STU0810,61.2,60.2,93.6,55.4,66.32,Average Performer
STU0811,80.7,100.0,57.4,97.5,83.26,High Performer
STU0812,50.5,64.1,34.3,45.5,48.98,Needs Improvement
STU0813,49.3,39.2,90.2,51.1,55.82,Average Performer
STU0814,54.9,40.9,77.6,62.8,58.22,Average Performer
STU0815,49.4,52.2,80.0,57.1,57.62,Average Performer
STU0816,81.0,72.7,96.2,79.4,82.06,High Performer
STU0817,58.0,50.7,49.1,46.4,52.44,Average Performer
STU0818,62.9,44.5,53.0,59.5,56.56,Average Performer
STU0819,53.3,56.0,79.0,60.8,60.48,Average Performer
STU0820,60.9,75.9,80.9,60.4,67.8,Average Performer
STU0821,58.9,61.9,79.1,82.4,68.24,Average Performer
STU0822,46.4,35.3,74.7,55.1,51.58,Average Performer
STU0823,81.7,80.2,91.0,74.6,81.84,High Performer
STU0824,87.7,86.1,20.9,78.5,72.18,Average Performer
STU0825,36.9,30.0,59.9,35.4,39.82,Needs Improvement
STU0826,65.9,78.6,33.6,60.1,60.82,Average Performer
STU0827,71.4,73.9,79.6,70.5,73.36,Average Performer
STU0828,64.2,52.2,53.0,,58.22,Average Performer
STU0829,71.4,84.9,43.7,77.6,69.8,Average Performer
STU0830,53.4,68.3,56.5,49.1,56.14,Average Performer
STU0831,91.1,88.0,91.0,72.8,86.8,High Performer
STU0832,63.9,60.5,69.6,70.4,65.66,Average Performer
STU0833,86.9,100.0,85.0,88.2,89.4,High Performer
STU0834,77.1,70.5,71.3,69.9,73.18,Average Performer
STU0835,60.4,61.4,76.0,65.0,64.64,Average Performer
STU0836,30.6,70.9,83.3,42.0,51.48,Average Performer
STU0837,,59.4,86.7,67.9,56.4,Average Performer
STU0838,58.4,73.1,91.6,79.1,72.12,Average Performer
STU0839,52.5,69.2,91.4,79.5,69.02,Average Performer
STU0840,48.2,71.1,98.2,69.3,67.0,Average Performer
STU0841,52.1,54.5,63.6,58.7,56.2,Average Performer
STU0842,67.0,71.5,47.4,67.4,64.06,Average Performer
STU0843,26.8,59.0,76.5,55.9,49.0,Needs Improvement
STU0844,62.6,68.6,67.9,78.5,68.04,Average Performer
STU0845,57.2,58.8,94.9,83.2,70.26,Average Performer
STU0846,70.0,78.1,81.1,88.4,77.52,High Performer
STU0847,91.1,80.8,77.1,88.0,85.62,High Performer
STU0848,61.3,37.1,68.8,69.9,59.68,Average Performer
STU0849,95.8,82.9,71.0,72.5,83.6,High Performer
STU0850,80.1,71.3,79.9,74.8,77.24,High Performer
STU0851,71.1,56.8,79.0,50.9,65.78,Average Performer
STU0852,81.5,89.1,66.4,80.5,79.8,High Performer
STU0853,68.2,50.3,71.7,62.0,64.08,Average Performer
STU0854,54.4,68.0,40.5,64.2,56.3,Average Performer
STU0855,76.9,86.4,97.1,94.6,86.38,High Performer
STU0856,45.5,51.0,71.0,39.9,50.58,Average Performer
STU0857,,55.9,72.1,58.8,64.08,Average Performer
STU0858,52.7,56.7,71.0,58.8,58.38,Average Performer
STU0859,72.2,94.4,89.2,91.0,83.8,High Performer
STU0860,63.6,66.2,67.4,77.5,67.66,Average Performer
STU0861,70.8,67.0,71.1,74.9,70.92,Average Performer
STU0862,73.6,53.1,92.6,88.5,76.28,High Performer
STU0863,57.2,59.1,68.5,71.7,62.74,Average Performer
STU0864,43.4,64.0,66.2,49.0,53.2,Average Performer
STU0865,51.1,59.8,92.3,73.8,65.62,Average Performer
STU0866,51.2,51.8,67.5,60.5,56.44,Average Performer
STU0867,59.2,69.0,86.3,50.0,64.74,Average Performer
STU0868,82.2,86.0,78.4,69.7,79.7,High Performer
STU0869,57.0,47.9,41.3,,47.68,Needs Improvement
STU0870,76.7,46.9,80.4,88.5,73.84,Average Performer
STU0871,66.3,60.8,96.8,75.5,73.14,Average Performer
STU0872,59.9,81.7,61.9,34.1,59.5,Average Performer
STU0873,49.1,44.9,72.0,60.0,55.02,Average Performer
STU0874,67.1,76.6,80.3,46.1,67.44,Average Performer
STU0875,77.7,51.6,88.3,71.5,73.36,Average Performer
STU0876,42.5,70.8,35.1,76.6,53.5,Average Performer
STU0877,49.9,,89.8,55.0,59.26,Average Performer
STU0878,63.3,44.8,76.4,70.2,63.6,Average Performer
STU0879,91.2,86.2,94.2,65.8,85.72,High Performer
STU0880,63.5,57.4,93.7,49.8,65.58,Average Performer
STU0881,62.8,44.0,87.8,78.7,67.22,Average Performer
STU0882,37.5,51.8,53.8,46.1,45.34,Needs Improvement
STU0883,78.5,73.4,56.2,76.7,72.66,Average Performer
STU0884,27.5,42.8,53.9,57.9,41.92,Needs Improvement
STU0885,48.3,34.0,77.1,57.8,53.1,Average Performer
STU0886,38.4,53.8,96.2,45.4,54.44,Average Performer
STU0887,54.3,54.0,68.3,50.2,56.22,Average Performer
STU0888,81.4,66.5,81.7,74.9,77.18,High Performer
STU0889,35.7,59.7,21.4,54.5,41.4,Needs Improvement
STU0890,75.5,70.5,81.5,59.0,72.4,Average Performer
STU0891,44.3,69.1,74.0,51.2,56.58,Average Performer
STU0892,73.5,67.1,73.2,69.0,71.26,Average Performer
STU0893,69.4,93.4,79.6,82.3,78.82,High Performer
STU0894,48.9,64.0,90.8,39.2,58.36,Average Performer
STU0895,90.2,78.9,89.9,90.3,87.9,High Performer
STU0896,49.7,50.9,69.0,44.1,52.68,Average Performer
STU0897,55.0,49.7,82.9,60.8,60.68,Average Performer
STU0898,71.8,85.6,86.8,63.6,75.92,High Performer
STU0899,70.0,66.5,79.3,54.1,67.98,Average Performer
STU0900,49.7,58.7,89.2,74.9,64.44,Average Performer
STU0901,59.3,43.6,86.3,67.8,63.26,Average Performer
STU0902,98.9,85.2,59.4,92.1,86.9,High Performer
